id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,malePrimaryCompletionRate,totalPublicSpendingOnEducation,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool
72,Niger,2012,68.39437103,15.05933952,41.5736084,53.79634857,3.18682003,22.55129051,39.05868912,31.64390945,48.5571785,44.61800003,33.23477936,null
73,Niger,2013,69.14922333,16.25382042,42.24362183,53.00437164,3.689529896,null,null,null,null,44.68415833,33.83792877,null
74,Niger,2014,69.57597351,18.20435905,50.74103928,64.23919678,5.103680134,null,null,null,null,44.24528122,34.19721985,75.17014313
75,Niger,2015,71.59590912,20.09321976,61.38932037,74.58405304,4.485899925,null,null,null,null,42.78990173,32.3970108,73.46779633
76,Niger,2016,73.43232727,23.12496948,65.04421997,77.9905777,2.970959902,null,null,null,null,41.66358185,31.3653698,70.19786072
77,Niger,2017,74.73619843,24.25374985,null,null,2.577159882,null,null,null,null,38.52128983,28.66439056,69.05776215
78,Niger,2018,null,null,null,null,3.44698,26.64999962,43.59405899,35.56000137,51.06999969,null,null,null
79,Niger,2019,66.4154129,null,57.30694962,67.05831909,3.523169994,null,null,null,null,44.90652847,37.26940918,null
80,Niger,2020,null,null,48.60884094,53.69749832,null,null,null,null,null,null,null,null
81,Nigeria,2005,101.3650818,34.95774841,74.98071289,91.01863098,null,null,null,null,null,36.34708023,27.08182907,null
82,Nigeria,2006,102.1081314,34.45698166,80.22299194,101.6903992,null,64.25449371,76.13186646,74.50440216,83.12365723,35.26483917,27.22335052,null
83,Nigeria,2007,93.31004333,31.86770058,71.60855865,90.07288361,null,null,null,null,null,35.98886871,20.94112015,null
84,Nigeria,2008,84.13864136,35.38618088,64.11502838,75.32872009,null,41.38676071,61.25405121,57.95389175,75.56594086,41.75543976,28.69161034,null
85,Nigeria,2009,85.38784027,39.23279953,68.44174194,78.98457336,null,null,null,null,null,40.43941116,27.8200798,null
86,Nigeria,2010,85.11785126,44.2182312,68.93570709,78.48284149,null,null,null,null,null,39.99406052,28.26112938,null
87,Nigeria,2011,90.67124176,45.55653,null,null,null,null,null,null,null,null,null,null
88,Nigeria,2012,92.09114075,47.18077087,null,null,null,null,null,null,null,null,null,null
89,Nigeria,2013,94.11853027,56.20539856,null,null,null,null,null,null,null,null,null,null
90,Nigeria,2014,90.10355377,45.6240387,null,null,null,null,null,null,null,null,null,null
91,Nigeria,2015,null,46.7820015,null,null,null,null,null,null,null,null,null,null
92,Nigeria,2016,84.72563934,42.00254059,null,null,null,null,null,null,null,null,null,null
93,Nigeria,2017,null,null,null,null,null,null,null,null,null,null,null,null
94,Nigeria,2018,87.45423126,43.51113892,null,null,null,52.65647888,71.25570679,68.26262665,81.5806427,null,null,null
95,Nigeria,2019,null,null,null,null,null,null,null,null,null,null,null,null
96,Nigeria,2020,null,null,null,null,null,null,null,null,null,null,null,null
97,Mali,2005,73.93554688,25.83254051,33.93220901,50.39839172,3.52218008,null,null,null,null,49.92692184,36.92433167,null
98,Mali,2006,76.76000977,27.7074604,38.48797989,55.9457016,null,18.19091034,34.85789108,30.79846001,47.37997055,48.15686035,36.05458069,null
99,Mali,2007,79.28751373,30.30554008,41.38092041,59.01319122,null,null,null,null,null,45.82435989,34.097229,null
100,Mali,2008,81.27266693,33.73199081,45.01737976,60.65114975,3.403559923,null,null,null,null,null,null,null
101,Mali,2009,82.71041107,36.67198944,47.38370895,61.39115143,3.869040012,null,null,null,null,38.75017929,26.91245079,61.77838135
102,Mali,2010,83.42733002,39.28609848,50.7020607,64.26741791,3.343889952,20.28792953,43.40063095,33.94570923,56.37126923,37.26974869,26.2585392,59.89955139
103,Mali,2011,84.19554901,41.2325592,51.73067856,64.64402008,3.754230022,18.90468979,43.52046967,29.6953907,56.31502151,35.86249924,25.67160034,57.14865875
104,Mali,2012,80.90805054,null,49.82756042,59.15164185,3.479490042,null,null,null,null,37.71403885,28.31484032,null
105,Mali,2013,76.06292725,41.81766891,null,null,3.284650087,null,null,null,null,null,null,null
106,Mali,2014,77.07611084,44.0181694,49.74921036,56.56879044,3.648190022,null,null,null,null,40.43680954,32.66093826,51.93048096
107,Mali,2015,75.68318176,41.72013855,48.04561996,53.72679138,3.801520109,22.19581032,45.06592178,39.20775986,60.52548981,43.12049103,35.57678986,48.37828827
108,Mali,2016,77.17025757,42.99298096,47.86235809,54.13811874,3.094779968,null,null,null,null,42.06246185,33.79034042,51.09178925
109,Mali,2017,80.17077637,41.52313995,47.1409111,52.01531982,3.789769888,null,null,null,null,36.38438034,28.92445946,58.31029129
110,Mali,2018,75.6006012,41.0272789,null,null,3.882529974,25.73516083,46.18413925,43.39810944,57.83325958,44.16783905,37.91067886,56.25222015
111,Mali,2019,null,null,null,null,3.438679934,null,null,null,null,null,null,null
112,Mali,2020,null,null,null,null,null,22.07847023,40.43405151,38.45201874,55.227211,null,null,null
113,Ethiopia,2005,79.0526123,25.10318947,36.09272003,50.72365189,null,17.97719955,41.9366188,33.29975128,55.88473892,42.13727188,35.5472908,59.11000824
114,Ethiopia,2006,83.22889709,29.22883987,41.94139099,52.36487961,5.490960121,null,null,null,null,36.83734131,31.69592094,53.89067078
115,Ethiopia,2007,89.07444,32.29912186,42.41859818,52.07971954,5.451129913,28.9216404,49.13465881,47.04113007,62.97092819,31.39015961,26.54463959,50.61071014
116,Ethiopia,2008,94.75041199,33.40739059,46.07886124,52.75725174,5.408199787,null,null,null,null,25.69585037,20.91002083,47.96007156
117,Ethiopia,2009,93.42681885,33.59592819,50.10383987,52.58724976,4.422070026,null,null,null,null,25.46297073,21.96513939,47.40011978
118,Ethiopia,2010,91.65653229,34.83549118,55.65589905,59.70196915,4.496590137,null,null,null,null,27.51902962,23.77057076,44.19607162
119,Ethiopia,2011,94.27971649,36.00415039,50.28746033,54.75452042,5.485760212,null,null,null,null,23.90880966,19.57681084,44.52651978
120,Ethiopia,2012,94.26506042,37.57714081,50.51939011,50.10128021,5.56678009,null,null,null,null,22.24909973,18.17808914,41.85705185
121,Ethiopia,2013,null,null,52.74337006,53.90333939,4.498549938,null,null,null,null,null,null,null
122,Ethiopia,2014,99.25276184,null,53.01525879,53.75389099,4.602019787,null,null,null,null,16.7377491,11.00098038,48.54058838
123,Ethiopia,2015,100.971489,34.93946838,52.99047089,55.21025848,4.737919807,null,null,null,null,17.56192017,11.25679016,49.19427109
124,Ethiopia,2016,null,null,59.89112091,63.23722076,5.061510086,null,null,null,null,null,null,null
125,Ethiopia,2017,null,null,61.65497971,65.68746948,5.64951992,44.42338181,59.24145889,71.97251129,73.52072144,null,null,null
126,Ethiopia,2018,null,null,null,null,5.06867981,null,null,null,null,null,null,null
127,Ethiopia,2019,null,null,64.86579132,70.55845642,null,null,null,null,null,null,null,null
128,Ethiopia,2020,119.402977,null,65.37133026,70.74250031,null,null,null,null,null,16.84796906,8.82833004,null
129,Pakistan,2005,81.27757263,25.63673973,50.05447006,69.6743927,2.049720049,35.36751938,64.06047821,53.0885582,76.65171814,null,null,null
130,Pakistan,2006,77.92784882,30.86035919,50.92182159,67.0114212,2.395509958,39.61323166,67.65184021,58.37055969,79.10218048,null,null,null
131,Pakistan,2007,83.10394287,32.90158081,52.8965683,65.12004852,2.635270119,38.45775986,65.00493622,56.7849617,75.23848724,null,null,null
132,Pakistan,2008,83.24307251,33.03702927,52.62380981,64.89337921,2.746229887,40.08118057,68.8660965,61.24991989,79.42005157,null,null,null
