id,nameyear,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
87,Niger,2011,null,88.86588605,74.43200214,10.78038007,12.37990497,5.596008317,37.56673006,13.63443537,9.88385838,0.219999999,0.400000006,0,33.01272756
88,Niger,2012,null,88.526417,73.7628785,11.23201288,12.84800105,5.847885244,39.05864059,14.7199067,11.06154491,3.710000038,1.669999957,0,33.62730916
89,Niger,2013,null,88.18703614,73.09373673,11.67555994,13.30108842,6.086437117,40.57016359,15.80542286,12.23923145,null,null,0,34.24189077
90,Niger,2014,null,87.84774349,72.41421008,12.11638501,13.74334085,6.311663936,42.10129903,16.89419928,13.41691798,0.430000007,0.600000024,0,34.85647238
91,Niger,2015,null,87.50853904,71.72301152,12.55582982,14.1756123,6.523565701,43.65204694,17.98640113,14.59460452,null,null,0,35.47105398
92,Niger,2016,null,87.16942278,71.02160644,12.99383525,14.59767048,6.722142412,45.2224073,19.08133442,15.77229105,null,null,0,36.08563559
93,Niger,2017,null,86.83039473,70.30871964,13.43185924,15.01045325,6.907394069,46.81238012,20.17914189,16.94997758,7.789999962,7.760000229,0,36.7002172
94,Niger,2018,null,86.49145487,69.58580949,13.86985027,15.41375964,7.079320673,48.4219654,21.2791514,18.12766412,null,null,0,37.3147988
95,Niger,2019,null,86.15260321,68.85160297,14.30938558,15.80861376,7.237922223,50.05116313,22.38148248,19.30535065,null,null,0,37.92938041
96,Niger,2020,null,85.81383976,68.10619172,14.75130566,16.18740843,7.383198719,51.69997332,23.48584637,20.48303719,null,null,0,38.54396202
97,Nigeria,2005,15.88227547,72.43679318,24.57233598,31.08842573,22.85006965,29.09222126,34.20100058,null,null,null,null,0,null
98,Nigeria,2006,16.30025529,73.68966198,24.18416347,31.72621811,23.26927858,29.36459794,35.27707364,null,null,null,null,0,null
99,Nigeria,2007,16.71431554,74.95327249,23.79342858,32.38283617,23.70064584,29.63557779,36.36592193,null,null,null,null,0,null
100,Nigeria,2008,17.12444944,76.22762472,23.40012045,33.05882638,24.14455283,29.90516082,37.46754544,null,null,null,null,0,null
101,Nigeria,2009,17.53024971,77.51271866,23.00504171,33.75440047,24.60127561,30.17334702,38.58194417,null,null,null,null,0,null
102,Nigeria,2010,17.93202871,78.80855432,22.60757159,34.4702898,25.07123103,30.44013638,39.70911813,null,null,null,null,0,null
103,Nigeria,2011,18.32863851,80.11513169,22.21017321,35.2058112,25.55433685,30.70552892,40.84906731,32.0001104,25.00286057,3.690000057,3.839999914,0,40.7745095
104,Nigeria,2012,18.72015588,81.43245078,21.81285753,35.96118435,26.05075831,30.96952463,42.00179172,32.13890107,25.00286057,null,null,0,40.7745095
105,Nigeria,2013,19.10647338,82.76051158,21.41605195,36.73638446,26.56055695,31.23212352,43.16729135,32.27642995,25.00286057,3.380000114,4.010000229,0,40.7745095
106,Nigeria,2014,19.48767868,84.09931409,21.01977234,37.53156546,27.08385391,31.49332557,44.34556621,32.4126969,25.00286057,5.349999905,3.829999924,0,40.7745095
107,Nigeria,2015,19.8638587,85.44885832,20.62403473,38.34687431,27.62076539,31.75313079,45.53661629,32.54770168,25.00286057,5.059999943,3.619999886,0,40.7745095
108,Nigeria,2016,20.23484458,86.80914427,20.22948131,39.18201097,28.17119796,32.01153919,46.74044159,32.68097266,25.00286057,8.029999733,6.139999866,0,40.7745095
109,Nigeria,2017,20.60090577,88.18017193,19.83571592,40.0373347,28.73534958,32.26855076,47.95704212,32.81282331,25.00286057,9.149999619,7.590000153,0,40.7745095
110,Nigeria,2018,20.96197137,89.5619413,19.44317572,40.91261014,29.31313945,32.5241655,49.18641788,32.9429398,25.00286057,null,null,0,40.7745095
111,Nigeria,2019,21.31806305,90.95445239,19.05209648,41.80768804,29.90451468,32.77838341,50.42856885,33.07116236,25.00286057,12.47999954,9.25,0,40.7745095
112,Nigeria,2020,21.66928927,92.35770519,18.66249807,42.72256141,30.50948612,33.03120449,51.68349505,33.19749375,25.00286057,null,null,0,40.7745095
113,Pakistan,2005,37.71324258,95.10836426,30.37402719,39.77526323,null,25.53202981,67.44608549,null,null,3.25,1.809999943,0,null
114,Pakistan,2006,37.57558911,94.95185447,28.78047367,41.78473453,null,27.95734776,68.40722853,null,null,null,null,0,null
115,Pakistan,2007,37.43503167,94.79541452,27.19422341,43.77924567,null,30.36602066,69.37269594,51.12891228,35.65791991,null,null,0,80.64873874
116,Pakistan,2008,37.29140151,94.63904439,25.61568447,45.75850584,null,32.75804851,70.34248774,51.22024391,35.65791991,null,null,0,80.64873874
117,Pakistan,2009,37.14470037,94.4827441,24.04485241,47.72264407,null,35.13343129,71.31660392,51.31157723,35.65791991,null,null,0,80.64873874
118,Pakistan,2010,36.9950616,94.32651364,22.48142121,49.67213148,null,37.49216902,72.29504447,51.40335696,35.65791991,null,null,0,80.64873874
119,Pakistan,2011,36.8424667,94.17035302,20.92544848,51.60705916,null,39.83426169,73.2778094,51.4955877,35.65791991,null,null,0,80.64873874
120,Pakistan,2012,36.68689376,94.01426222,19.37698998,53.52751508,null,42.1597093,74.26489872,54.71970112,39.90985399,null,null,0,81.73612695
121,Pakistan,2013,36.52810071,93.85824126,17.8366043,55.43297181,null,44.46851186,75.25631241,57.93038961,44.16178807,2.940000057,1.649999976,0,82.82351515
122,Pakistan,2014,36.36631784,93.70229013,16.30377201,57.32418733,null,46.76066936,76.25205048,61.12845769,48.41372215,null,null,0,83.91090336
123,Pakistan,2015,36.20152413,93.54640884,14.77854935,59.20125322,null,49.0361818,77.25211292,64.31381152,52.66565622,null,null,0,84.99829157
124,Pakistan,2016,36.03369828,93.39059737,13.26099326,61.06426149,null,51.29504918,78.25649975,67.48635617,56.9175903,null,null,0,86.08567977
125,Pakistan,2017,35.86274126,93.23485574,11.75133632,62.91304935,null,53.53727151,79.26521096,70.64573818,61.16952438,null,null,0,87.17306798
126,Pakistan,2018,35.68978668,93.07918395,10.24708919,64.75166491,null,55.76284878,80.27824654,73.79560573,65.42145846,null,null,0,88.26045618
127,Pakistan,2019,35.76400171,92.92358198,8.749029143,66.57990296,null,57.97178099,81.2956065,76.93463978,69.67339254,null,null,0,89.34784439
128,Pakistan,2020,35.83886904,92.76804985,7.303359668,68.39731114,null,60.16406814,82.31729084,80.06123049,73.92532662,null,null,0,90.43523259
129,United States,2005,95.23581292,99.69304221,0.0,99.8817868,97.8283804,99.9963302,99.85302032,null,null,12.06000042,5.960000038,0,null
130,United States,2006,95.24582727,99.69304221,0.0,99.88154042,97.89264968,99.9963302,99.85302032,null,null,0.319999993,0.639999986,0,null
131,United States,2007,95.2557833,99.69304221,0.0,99.88129549,97.95699817,99.9963302,99.85302032,null,null,0.25,0.430000007,0,null
132,United States,2008,95.2656829,99.69304221,0.0,99.8810546,98.02142764,99.9963302,99.85302032,null,null,0.529999971,0.400000006,0,null
133,United States,2009,95.27552413,99.69304221,0.0,99.88081511,98.08593485,99.9963302,99.85302032,null,null,0.360000014,0.579999983,0,null
134,United States,2010,95.46778236,99.71441514,0.0,99.86076619,98.13517396,99.90014735,99.85138983,null,null,0.639999986,0.660000026,0,null
135,United States,2011,95.65914859,99.73578807,0.0,99.84103269,98.18494766,99.8039645,99.84975935,null,null,0.670000017,0.829999983,0,null
136,United States,2012,95.84939996,99.75716101,0.0,99.82162867,98.2352578,99.70778165,99.84812887,null,null,null,null,0,null
137,United States,2013,96.03857024,99.77853394,0.0,99.80256859,98.28612717,99.61159879,99.84649839,null,null,3.420000076,2.819999933,0,null
138,United States,2014,96.22654489,99.79990687,0.0,99.78386084,98.33755989,99.51541594,99.84486791,null,null,2.00999999,1.769999981,0,null
139,United States,2015,96.41326821,99.82127981,0.0,99.7655241,98.32452877,99.41923309,99.84323742,null,null,6.110000134,2.799999952,0,null
140,United States,2016,96.59863984,99.84265274,0.0,99.74755356,98.31176198,99.32305024,99.84160694,null,null,null,null,0,null
141,United States,2017,96.78265168,99.86402567,0.0,99.72996764,98.29928582,99.22686738,99.83997646,null,null,null,null,0,null
142,United States,2018,96.96518791,99.8853986,0.0,99.71277377,98.28709462,99.13068453,99.83834598,null,null,4.550000191,3.960000038,0,null
143,United States,2019,97.14624349,99.90677154,0.0,99.69599445,98.27522266,99.03450168,99.8367155,null,null,6.260000229,4.409999847,0,null
144,United States,2020,97.32571774,99.92814447,0.0,99.67961928,98.26364733,98.93831882,99.83508502,null,null,null,null,0,null
