Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.812,5.667,5.526,5.39,5.26,5.136,5.017,4.901,4.787,4.675,4.565,4.456,4.35,4.247,4.146,..
Ethiopia,ETH,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,16.88193101,39.05636322,49.77509766,30.58231736,33.22397941,30.75903298,32.96779143,21.99608516,18.7815183,20.80425662,18.76065173,12.95491092,11.63765226,14.32156317,10.54708005,10.03185694
Ethiopia,ETH,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,..,..,..,..,..,..,32.10766647,37.09796197,34.08111832,37.9937253,40.67127298,37.3487737,38.44398637,34.72881719,35.26398392,30.75215397
Ethiopia,ETH,"Population, total",SP.POP.TOTL,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1.20055E+11,1.37264E+11,1.52386E+11,1.70078E+11,1.68153E+11,1.77166E+11,2.13587E+11,2.24384E+11,2.31219E+11,2.44361E+11,2.70556E+11,2.78655E+11,3.04567E+11,3.14568E+11,2.79057E+11,2.6261E+11
Pakistan,PAK,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,31.755,31.332,30.96,30.631,30.339,30.082,29.86,29.667,29.491,29.318,29.124,28.888,28.599,28.25,27.841,..
Pakistan,PAK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.149,8.034,7.92,7.804,7.686,7.568,7.454,7.349,7.257,7.176,7.107,7.048,6.994,6.942,6.893,..
Pakistan,PAK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.416,4.31,4.211,4.118,4.031,3.951,3.88,3.816,3.759,3.708,3.66,3.612,3.562,3.51,3.454,..
Pakistan,PAK,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,32.4486845,34.42887438,37.3680329,18.12096089,24.0244828,27.34733293,27.34656381,21.50766238,12.73843707,22.29025666,29.19542557,29.35474164,20.13494176,11.92802358,15.37157245,15.89772854
Pakistan,PAK,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,16.1222386,17.73199402,17.18706472,17.60584829,15.94948282,14.20455753,12.52062765,13.4759584,13.35732977,13.03527124,14.10703213,14.08612456,14.55053518,15.74249323,14.03492212,13.72762116
Pakistan,PAK,"Population, total",SP.POP.TOTL,160304007,164022626,167808106,171648984,175525610,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
