,id,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
60,61,,92.91364461,7.064355973,40.39179278,17.82759777,31.9167122,52.30322698,16.60501226,9.120374815,8.340000153,6.650000095,,27.12441149
61,62,,93.91485445,6.342511519,42.04244608,18.53257096,33.66598318,53.44231465,16.74616454,9.120374815,1.559999943,1.669999957,,27.12441149
62,63,,94.9161245,5.633056458,43.71028764,19.22903769,35.4543911,54.59361587,16.88659658,9.120374815,,,,27.12441149
63,64,,95.91745475,4.93614394,45.39420987,19.9246421,37.28193596,55.75713061,17.02576795,9.120374815,,,,27.12441149
64,65,40.35948897,96.60292525,6.910224385,81.27377788,23.87717464,62.36085428,87.14583541,,,3.900000095,3.359999895,,
65,66,40.5640574,96.89332254,6.413280454,82.07830717,25.87350566,64.00811634,87.59351893,,,3.880000114,3.380000114,,
66,67,40.76641554,97.18390312,5.923779375,82.87293106,27.90436423,65.6456319,88.04201393,,,3.99000001,3.410000086,,
67,68,40.96669575,97.47192479,5.441312933,83.65830449,29.96951033,67.27340096,88.49132043,,,4.03000021,3.779999971,,
68,69,41.16482643,97.72787166,4.966066408,84.43419231,32.0685671,68.89142351,88.9414384,,,5.349999905,5.360000134,,
69,70,41.36089371,97.98381853,4.497791888,85.20102819,34.20129298,70.49969957,89.39236786,,,5.179999828,5.369999886,,
70,71,41.55507773,98.23976541,4.035972895,85.95971004,36.3676703,72.09822913,89.84410881,89.66001526,83.50700895,5.130000114,5.190000057,,91.38427265
71,72,41.74726437,98.49571228,3.58092129,86.70980432,38.56730401,73.6870122,90.29666125,89.68317442,83.50700895,4.880000114,4.889999866,,91.38427265
72,73,41.93753836,98.75165915,3.132406947,87.45178303,40.80011597,75.26604876,90.75002516,89.70633655,83.50700895,4.960000038,4.889999866,,91.38427265
73,74,42.12589627,99.00760603,2.69042959,88.18573213,43.06591674,76.83533882,91.20420057,89.72949429,83.50700895,4.849999905,4.789999962,,91.38427265
74,75,42.31228861,99.2635529,2.255108509,88.91148404,45.36435171,78.39488239,91.65918746,89.75249473,83.50700895,4.449999809,4.230000019,,91.38427265
75,76,42.49678317,99.51949977,1.826280678,89.62944687,47.69541008,79.94467945,92.11498583,89.77550185,83.50700895,3.910000086,3.829999924,,91.38427265
76,77,42.67933349,99.77544665,1.404019929,90.33947554,50.0587208,81.48473002,92.57159569,89.79834169,83.50700895,3.599999905,3.309999943,,91.38427265
77,78,42.84912192,100.0,0.988233853,91.04184497,52.45421467,83.01503408,93.02901704,89.82111114,83.50700895,3.430000067,3.190000057,,91.38427265
78,79,42.93896105,100.0,0.351365143,91.73666093,54.88172246,84.53559165,93.48724987,89.84379235,83.50700895,3.50999999,3.450000048,,91.38427265
79,80,43.02628491,100.0,0.096456614,92.42406261,57.34110284,86.04640272,93.94629419,,,4.099999905,4.670000076,,
80,81,,90.90455255,78.4450149,7.901511602,9.256826745,3.804920627,29.02712842,7.123087085,2.817739176,2.700000048,3.400000095,,29.32523791
81,82,,90.5645543,77.77598644,8.401596097,9.814903939,4.136747876,30.40136422,8.208276197,3.99542571,,,,29.93981952
82,83,,90.22464425,77.10694127,8.8936197,10.3579956,4.455250072,31.79521247,9.293510821,5.173112244,,,,30.55440113
83,84,,89.8848224,76.43858532,9.377293422,10.8858509,4.760427214,33.20867318,10.37854224,6.350798778,,,,31.16898274
84,85,,89.54508875,75.76950653,9.853170088,11.39895417,5.052279303,34.64174635,11.46387169,7.528485312,,,,31.78356434
85,86,,89.2054433,75.1004118,10.32097412,11.897061,5.330806337,36.09443197,12.54924695,8.706171846,,,,32.39814595
86,87,,88.86588605,74.43200214,10.78038007,12.37990497,5.596008317,37.56673006,13.63443537,9.88385838,0.219999999,0.400000006,,33.01272756
87,88,,88.526417,73.7628785,11.23201288,12.84800105,5.847885244,39.05864059,14.7199067,11.06154491,3.710000038,1.669999957,,33.62730916
88,89,,88.18703614,73.09373673,11.67555994,13.30108842,6.086437117,40.57016359,15.80542286,12.23923145,,,,34.24189077
89,90,,87.84774349,72.41421008,12.11638501,13.74334085,6.311663936,42.10129903,16.89419928,13.41691798,0.430000007,0.600000024,,34.85647238
90,91,,87.50853904,71.72301152,12.55582982,14.1756123,6.523565701,43.65204694,17.98640113,14.59460452,,,,35.47105398
91,92,,87.16942278,71.02160644,12.99383525,14.59767048,6.722142412,45.2224073,19.08133442,15.77229105,,,,36.08563559
92,93,,86.83039473,70.30871964,13.43185924,15.01045325,6.907394069,46.81238012,20.17914189,16.94997758,7.789999962,7.760000229,,36.7002172
93,94,,86.49145487,69.58580949,13.86985027,15.41375964,7.079320673,48.4219654,21.2791514,18.12766412,,,,37.3147988
94,95,,86.15260321,68.85160297,14.30938558,15.80861376,7.237922223,50.05116313,22.38148248,19.30535065,,,,37.92938041
95,96,,85.81383976,68.10619172,14.75130566,16.18740843,7.383198719,51.69997332,23.48584637,20.48303719,,,,38.54396202
96,97,15.88227547,72.43679318,24.57233598,31.08842573,22.85006965,29.09222126,34.20100058,,,,,,
97,98,16.30025529,73.68966198,24.18416347,31.72621811,23.26927858,29.36459794,35.27707364,,,,,,
98,99,16.71431554,74.95327249,23.79342858,32.38283617,23.70064584,29.63557779,36.36592193,,,,,,
