,id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool,maleAdolescentsOutOfPrimarySchool
109,110,75.6006012,41.0272789,,,3.882529974,25.73516083,46.18413925,43.39810944,57.83325958,44.16783905,37.91067886,56.25222015
110,111,,,,,3.438679934,,,,,,,
111,112,,,,,,22.07847023,40.43405151,38.45201874,55.227211,,,
112,113,79.0526123,25.10318947,36.09272003,50.72365189,,17.97719955,41.9366188,33.29975128,55.88473892,42.13727188,35.5472908,59.11000824
113,114,83.22889709,29.22883987,41.94139099,52.36487961,5.490960121,,,,,36.83734131,31.69592094,53.89067078
114,115,89.07444,32.29912186,42.41859818,52.07971954,5.451129913,28.9216404,49.13465881,47.04113007,62.97092819,31.39015961,26.54463959,50.61071014
115,116,94.75041199,33.40739059,46.07886124,52.75725174,5.408199787,,,,,25.69585037,20.91002083,47.96007156
116,117,93.42681885,33.59592819,50.10383987,52.58724976,4.422070026,,,,,25.46297073,21.96513939,47.40011978
117,118,91.65653229,34.83549118,55.65589905,59.70196915,4.496590137,,,,,27.51902962,23.77057076,44.19607162
118,119,94.27971649,36.00415039,50.28746033,54.75452042,5.485760212,,,,,23.90880966,19.57681084,44.52651978
119,120,94.26506042,37.57714081,50.51939011,50.10128021,5.56678009,,,,,22.24909973,18.17808914,41.85705185
120,121,,,52.74337006,53.90333939,4.498549938,,,,,,,
121,122,99.25276184,,53.01525879,53.75389099,4.602019787,,,,,16.7377491,11.00098038,48.54058838
122,123,100.971489,34.93946838,52.99047089,55.21025848,4.737919807,,,,,17.56192017,11.25679016,49.19427109
123,124,,,59.89112091,63.23722076,5.061510086,,,,,,,
124,125,,,61.65497971,65.68746948,5.64951992,44.42338181,59.24145889,71.97251129,73.52072144,,,
125,126,,,,,5.06867981,,,,,,,
126,127,,,64.86579132,70.55845642,,,,,,,,
127,128,119.402977,,65.37133026,70.74250031,,,,,,16.84796906,8.82833004,
128,129,81.27757263,25.63673973,50.05447006,69.6743927,2.049720049,35.36751938,64.06047821,53.0885582,76.65171814,,,
129,130,77.92784882,30.86035919,50.92182159,67.0114212,2.395509958,39.61323166,67.65184021,58.37055969,79.10218048,,,
130,131,83.10394287,32.90158081,52.8965683,65.12004852,2.635270119,38.45775986,65.00493622,56.7849617,75.23848724,,,
131,132,83.24307251,33.03702927,52.62380981,64.89337921,2.746229887,40.08118057,68.8660965,61.24991989,79.42005157,,,
132,133,83.89859772,32.85655975,52.89113998,65.43683624,2.59078002,40.31462097,68.62761688,61.46266174,79.14431763,,,
133,134,84.59361267,33.17972946,56.11716843,68.03323364,2.286870003,41.01552963,68.90061188,62.29837036,79.50414276,,,
134,135,80.85917664,33.76794052,54.4838295,65.86917877,2.221750021,41.97539139,66.99114227,63.1368103,78.04241943,,,
135,136,80.37718964,34.9048996,58.40758133,68.15596008,2.13628006,43.07189178,69.85822296,64.47409821,80.28826141,,,
136,137,79.65857697,36.00167084,58.37319183,68.67778778,2.493439913,41.97494125,68.62934113,63.43799973,79.40380859,,,
137,138,84.30747223,37.32049179,58.68865967,69.91909027,2.465929985,44.28342056,69.06681061,65.54779053,79.76598358,,,
138,139,85.08992004,39.60364914,,,2.650019884,,,,,,,
139,140,91.31745911,40.9597702,58.84320068,70.61134338,3.002919912,,,,,,,
140,141,90.58917236,40.40158844,,,2.89951992,46.46767044,71.11599731,67.53713226,81.26351929,,,
141,142,94.32820129,42.67465973,64.24922943,77.41831207,,45.39839935,69.27658081,64.35005188,79.78309631,,,
142,143,95.48413849,44.8681488,67.6683197,77.82138062,2.507550001,46.49003983,69.28746033,65.18557739,79.72924805,,,
143,144,,,,,,,,,,,,
